L1_01	Continue the sequence: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26,
L1_02	Repeat the following sentence exactly: The quick brown fox jumps over the lazy dog near the red barn on a warm summer afternoon.
L1_03	What letter comes after B in the English alphabet?
L1_04	Complete: A, B, C, D, E, F, G, H, I, J, K, L, M, N, O, P, Q, R, S, T, U,
L1_05	What is 2 + 2?
L1_06	List the numbers from 100 to 130.
L1_07	Repeat the following words: cat dog bird fish horse cow sheep goat pig hen.
L1_08	What color is the sky on a clear day?
L1_09	Continue the pattern: ABABABABABABAB
L1_10	Spell the word 'encyclopedia' one letter at a time, each on a new line.
L1_11	What day comes after Monday?
L1_12	Count by twos from 2 to 50.
L1_13	Repeat this exactly: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.
L1_14	What is the first letter of the English alphabet?
L2_01	What is the capital of France? Provide a brief description of the city.
L2_02	Explain what photosynthesis is and why it matters for life on Earth.
L2_03	Name the planets in our solar system in order from the sun, and give one fact about each.
L2_04	Who was Isaac Newton and what were his major contributions to science?
L2_05	Describe the water cycle in simple terms.
L2_06	What are the three states of matter? Give an example of each.
L2_07	Explain how a volcano forms and erupts.
L2_08	What is DNA and what role does it play in living organisms?
L2_09	Describe the basic structure of an atom.
L2_10	What caused World War I? List the main factors.
L2_11	Explain how the human heart pumps blood through the body.
L2_12	What is gravity and how did Einstein change our understanding of it?
L2_13	Describe the process of cellular respiration.
L2_14	What is the Pythagorean theorem and how is it used?
L3_01	If all roses are flowers and some flowers fade quickly, can we conclude that some roses fade quickly? Explain your reasoning step by step.
L3_02	A train leaves Chicago heading east at 60 mph. Another train leaves New York heading west at 80 mph. The cities are 790 miles apart. When and where do they meet? Show your work.
L3_03	Explain why antibiotics don't work against viruses. What is the fundamental biological difference that makes this true?
L3_04	Three people check into a hotel room that costs $30. They each pay $10. The manager realizes the room is only $25 and gives $5 to the bellboy to return. The bellboy keeps $2 and returns $1 to each person. Now each person paid $9, totaling $27, plus the $2 the bellboy kept equals $29. Where did the missing dollar go?
L3_05	Prove that the square root of 2 is irrational using a proof by contradiction.
